,index,Lat,Lng,City,Country,Temp,Humidity,Date,Wind Speed,Cloudiness
200,1010,32.78131897755543,-119.31442750521119,malibu,us,78.8,88,1527820500,4.5,1.0
202,960,-13.94122504486343,119.53955797545177,waingapu,id,84.53,62,1527821986,9.31,32.0
203,513,-10.312331896338947,34.04473241829339,livingstonia,mw,62.75,100,1527821987,2.82,0.0
204,58,72.95745817194381,71.07997211350337,yar-sale,ru,33.77,94,1527821987,24.18,92.0
205,669,59.913086280009026,-166.42812512212376,nome,us,82.4,83,1527819300,4.7,1.0
206,1186,45.966630959184556,-92.59491240801863,north branch,us,78.8,77,1527821100,5.84,1.0
207,639,20.84023807354501,47.955055440526195,riyadh,sa,82.4,26,1527818400,6.62,0.0
208,480,27.92292954608594,-85.48281737344838,callaway,us,71.6,68,1527821580,5.17,1.0
209,841,10.92182979704684,-8.9459517478831,mandiana,gn,73.91,82,1527821988,5.95,8.0
210,799,47.87063863051321,-8.960285322708046,skibbereen,ie,57.2,100,1527818400,1.12,75.0
211,407,19.723176096404245,-8.477588409502943,nioro,ml,78.86,58,1527821988,11.21,0.0
212,886,71.78668149236071,176.7903794007895,leningradskiy,ru,33.68,95,1527821988,7.07,0.0
213,51,31.33662780736819,177.5124032061036,nikolskoye,ru,46.4,61,1527820200,2.24,0.0
214,603,30.33062921926937,13.271333873474788,mizdah,ly,71.48,47,1527821989,7.4,20.0
215,0,22.190245187686003,-78.42300239448582,moron,cu,80.6,74,1527818400,3.36,40.0
216,1117,9.849651284502158,-31.031008748713532,sao filipe,cv,71.48,100,1527821989,10.87,0.0
217,258,3.0243564761566404,-44.32164526944143,carutapera,br,75.8,94,1527821990,4.83,0.0
218,490,36.54453789170037,15.010170046415311,pachino,it,70.22,95,1527821990,5.61,0.0
219,1000,15.199275176700752,65.32969096876812,veraval,in,62.6,100,1527820200,4.7,20.0
220,1123,85.60480373347659,29.617401628694125,mehamn,no,44.6,75,1527819600,11.41,75.0
221,1404,2.727309551745293,29.361578390038716,watsa,cd,63.74,95,1527821991,2.15,12.0
222,439,21.701531088632237,-91.84271465384126,celestun,mx,83,97,1527821991,15.12,8.0
223,481,87.54964200025714,32.0994622390449,berlevag,no,44.6,75,1527819600,11.41,75.0
224,57,6.062981754916763,137.18110794483852,airai,pw,82.01,55,1527821991,2.37,12.0
225,220,81.52628990188964,-73.0377378200261,qaanaaq,gl,28.91,94,1527821991,3.49,64.0
226,27,-6.859760675052399,136.93752545332399,merauke,id,86.15,67,1527821992,16.13,56.0
